iter	Passed	Remaining
199	2751	17886
200	2768	17890
201	2781	17873
202	2803	17911
203	2812	17869
204	2822	17831
205	2834	17804
206	2846	17779
207	2860	17769
208	2876	17767
209	2893	17777
210	2901	17727
211	2908	17670
212	2960	17889
213	3098	18621
214	3108	18578
215	3121	18557
216	3141	18571
217	3146	18506
218	3152	18441
219	3158	18378
220	3169	18345
221	3175	18281
222	3182	18225
223	3192	18188
224	3198	18124
225	3206	18072
226	3211	18008
227	3222	17975
228	3226	17909
229	3237	17878
230	3244	17824
231	3259	17813
232	3268	17773
233	3282	17758
234	3288	17699
235	3294	17645
236	3311	17648
237	3319	17602
238	3329	17567
239	3335	17513
240	3350	17500
241	3361	17472
242	3373	17450
243	3380	17401
244	3397	17404
245	3413	17398
246	3429	17395
247	3436	17348
248	3443	17300
249	3456	17281
250	3471	17273
251	3477	17220
252	3488	17193
253	3496	17152
254	3505	17114
255	3511	17063
256	3517	17013
257	3532	17005
258	3551	17018
259	3559	16975
260	3574	16966
261	3583	16935
262	3591	16893
263	3608	16892
264	3618	16862
265	3634	16860
266	3642	16820
267	3656	16807
268	3663	16766
269	3668	16711
270	3672	16655
271	3686	16643
272	3691	16590
273	3696	16540
274	3705	16506
275	3715	16478
276	3734	16486
277	3752	16492
278	3759	16453
279	3776	16456
280	3783	16413
281	3801	16420
282	3813	16399
283	3822	16368
284	3831	16333
285	3838	16295
286	3850	16275
287	3860	16244
288	3866	16201
289	3872	16156
290	3882	16129
291	3899	16131
292	3908	16101
293	3923	16094
294	3930	16055
295	3936	16011
296	3941	15964
297	3947	15924
298	3953	15880
299	3959	15838
300	3969	15811
301	3974	15764
302	3990	15763
303	4000	15739
304	4008	15706
305	4023	15701
306	4033	15674
307	4038	15628
308	4051	15617
309	4071	15628
310	4090	15639
311	4096	15598
312	4106	15573
313	4125	15581
314	4142	15584
315	4158	15580
316	4167	15551
317	4183	15549
318	4193	15524
319	4203	15501
320	4218	15495
321	4236	15498
322	4251	15492
323	4256	15449
324	4272	15447
325	4292	15459
326	4311	15465
327	4338	15503
328	4346	15470
329	4370	15494
330	4376	15456
331	4405	15499
332	4426	15513
333	4459	15566
334	4479	15579
335	4500	15589
336	4505	15548
337	4521	15544
338	4529	15514
339	4536	15476
340	4552	15471
341	4568	15468
342	4586	15469
343	4591	15427
344	4605	15419
345	4624	15424
346	4648	15446
347	4667	15450
348	4681	15440
349	4704	15457
350	4711	15422
351	4736	15447
352	4755	15451
353	4776	15462
354	4805	15499
355	4837	15546
356	4860	15560
357	4886	15588
358	4914	15618
359	4931	15615
360	4947	15610
361	4956	15581
362	4961	15539
363	4976	15531
364	4987	15508
365	5003	15501
366	5019	15497
367	5037	15495
368	5053	15487
369	5068	15478
370	5083	15469
371	5099	15464
372	5115	15456
373	5121	15420
374	5136	15410
375	5154	15408
376	5172	15407
377	5188	15399
378	5204	15395
379	5222	15393
380	5239	15389
381	5262	15402
382	5282	15405
383	5287	15365
384	5305	15364
385	5329	15382
386	5346	15377
387	5362	15370
388	5380	15365
389	5396	15358
390	5413	15355
391	5429	15346
392	5446	15341
393	5450	15301
394	5466	15292
395	5481	15282
396	5497	15274
397	5515	15270
398	5530	15262
399	5547	15254
400	5564	15251
401	5584	15253
402	5601	15247
403	5617	15238
404	5633	15231
405	5649	15223
